country,indicator,year_week,cumulative_count,weekly_count
Canada,deaths,2020-01,0,
Canada,deaths,2020-02,0,0.0
Canada,deaths,2020-03,0,0.0
Canada,deaths,2020-04,0,0.0
Canada,deaths,2020-05,0,0.0
Canada,deaths,2020-06,0,0.0
Canada,deaths,2020-07,0,0.0
Canada,deaths,2020-08,0,0.0
Canada,deaths,2020-09,0,0.0
Canada,deaths,2020-10,0,0.0
Canada,deaths,2020-11,1,1.0
Canada,deaths,2020-12,20,19.0
Canada,deaths,2020-13,61,41.0
Canada,deaths,2020-14,280,219.0
Canada,deaths,2020-15,717,437.0
Canada,deaths,2020-16,1580,863.0
Canada,deaths,2020-17,2560,980.0
Canada,deaths,2020-18,3682,1122.0
Canada,deaths,2020-19,4871,1189.0
Canada,deaths,2020-20,5782,911.0
Canada,deaths,2020-21,6424,642.0
Canada,deaths,2020-22,7295,871.0
Canada,deaths,2020-23,7800,505.0
Canada,deaths,2020-24,8146,346.0
Canada,deaths,2020-25,8430,284.0
Canada,deaths,2020-26,8522,92.0
Canada,deaths,2020-27,8684,162.0
Canada,deaths,2020-28,8783,99.0
Canada,deaths,2020-29,8852,69.0
Canada,deaths,2020-30,8890,38.0
Canada,deaths,2020-31,8945,55.0
Canada,deaths,2020-32,8981,36.0
Canada,deaths,2020-33,9026,45.0
Canada,deaths,2020-34,9073,47.0
Canada,deaths,2020-35,9117,44.0
Canada,deaths,2020-36,9145,28.0
Canada,deaths,2020-37,9171,26.0
Canada,deaths,2020-38,9217,46.0
Canada,deaths,2020-39,9268,51.0
Canada,deaths,2020-40,9481,213.0
Canada,deaths,2020-41,9585,104.0
Canada,deaths,2020-42,9760,175.0
Canada,deaths,2020-43,9946,186.0
Canada,deaths,2020-44,10179,233.0
Canada,deaths,2020-45,10522,343.0
Canada,deaths,2020-46,10953,431.0
Canada,deaths,2020-47,11455,502.0
Canada,deaths,2020-48,12032,577.0
Canada,deaths,2020-49,12665,633.0
Canada,deaths,2020-50,13431,766.0
Canada,deaths,2020-51,14332,901.0
Canada,deaths,2020-52,14964,632.0
Canada,deaths,2020-53,15865,901.0
Canada,deaths,2021-01,17086,1221.0
Canada,deaths,2021-02,18120,1034.0
Canada,deaths,2021-03,19238,1118.0
Canada,deaths,2021-04,20136,898.0
Canada,deaths,2021-05,20835,699.0
Canada,deaths,2021-06,21311,476.0
Canada,deaths,2021-07,21723,412.0
Canada,deaths,2021-08,22017,294.0
