country,indicator,year_week,cumulative_count,weekly_count
Italy,deaths,2020-01,0,
Italy,deaths,2020-02,0,0.0
Italy,deaths,2020-03,0,0.0
Italy,deaths,2020-04,0,0.0
Italy,deaths,2020-05,0,0.0
Italy,deaths,2020-06,0,0.0
Italy,deaths,2020-07,0,0.0
Italy,deaths,2020-08,2,2.0
Italy,deaths,2020-09,35,33.0
Italy,deaths,2020-10,366,331.0
Italy,deaths,2020-11,1811,1445.0
Italy,deaths,2020-12,5476,3665.0
Italy,deaths,2020-13,10781,5305.0
Italy,deaths,2020-14,15889,5108.0
Italy,deaths,2020-15,19901,4012.0
Italy,deaths,2020-16,23660,3759.0
Italy,deaths,2020-17,26644,2984.0
Italy,deaths,2020-18,28884,2240.0
Italy,deaths,2020-19,30560,1676.0
Italy,deaths,2020-20,31908,1348.0
Italy,deaths,2020-21,32785,877.0
Italy,deaths,2020-22,33415,630.0
Italy,deaths,2020-23,33899,484.0
Italy,deaths,2020-24,34345,446.0
Italy,deaths,2020-25,34634,289.0
Italy,deaths,2020-26,34738,104.0
Italy,deaths,2020-27,34861,123.0
Italy,deaths,2020-28,34954,93.0
Italy,deaths,2020-29,35045,91.0
Italy,deaths,2020-30,35107,62.0
Italy,deaths,2020-31,35154,47.0
Italy,deaths,2020-32,35205,51.0
Italy,deaths,2020-33,35396,191.0
Italy,deaths,2020-34,35437,41.0
Italy,deaths,2020-35,35477,40.0
Italy,deaths,2020-36,35541,64.0
Italy,deaths,2020-37,35610,69.0
Italy,deaths,2020-38,35707,97.0
Italy,deaths,2020-39,35835,128.0
Italy,deaths,2020-40,35986,151.0
Italy,deaths,2020-41,36166,180.0
Italy,deaths,2020-42,36543,377.0
Italy,deaths,2020-43,37338,795.0
Italy,deaths,2020-44,38826,1488.0
Italy,deaths,2020-45,41394,2568.0
Italy,deaths,2020-46,45229,3835.0
Italy,deaths,2020-47,49823,4594.0
Italy,deaths,2020-48,54904,5081.0
Italy,deaths,2020-49,60078,5174.0
Italy,deaths,2020-50,64520,4442.0
Italy,deaths,2020-51,68799,4279.0
Italy,deaths,2020-52,71925,3126.0
Italy,deaths,2020-53,75332,3407.0
Italy,deaths,2021-01,78755,3423.0
Italy,deaths,2021-02,82177,3422.0
Italy,deaths,2021-03,85461,3284.0
Italy,deaths,2021-04,88516,3055.0
Italy,deaths,2021-05,91273,2757.0
Italy,deaths,2021-06,93577,2304.0
Italy,deaths,2021-07,95718,2141.0
Italy,deaths,2021-08,97699,1981.0
