country,indicator,year_week,cumulative_count,weekly_count
Italy,cases,2020-01,0,
Italy,cases,2020-02,0,0.0
Italy,cases,2020-03,0,0.0
Italy,cases,2020-04,0,0.0
Italy,cases,2020-05,3,3.0
Italy,cases,2020-06,3,0.0
Italy,cases,2020-07,3,0.0
Italy,cases,2020-08,132,129.0
Italy,cases,2020-09,1689,1557.0
Italy,cases,2020-10,7375,5686.0
Italy,cases,2020-11,23980,16605.0
Italy,cases,2020-12,59138,35158.0
Italy,cases,2020-13,97689,38551.0
Italy,cases,2020-14,128948,31259.0
Italy,cases,2020-15,156363,27415.0
Italy,cases,2020-16,178972,22609.0
Italy,cases,2020-17,197675,18703.0
Italy,cases,2020-18,210717,13042.0
Italy,cases,2020-19,219070,8353.0
Italy,cases,2020-20,225435,6365.0
Italy,cases,2020-21,229858,4423.0
Italy,cases,2020-22,233019,3161.0
Italy,cases,2020-23,234998,1979.0
Italy,cases,2020-24,236989,1991.0
Italy,cases,2020-25,238499,1510.0
Italy,cases,2020-26,240310,1811.0
Italy,cases,2020-27,241611,1301.0
Italy,cases,2020-28,243061,1450.0
Italy,cases,2020-29,244434,1373.0
Italy,cases,2020-30,246118,1684.0
Italy,cases,2020-31,248070,1952.0
Italy,cases,2020-32,250566,2496.0
Italy,cases,2020-33,253915,3349.0
Italy,cases,2020-34,259345,5430.0
Italy,cases,2020-35,268218,8873.0
Italy,cases,2020-36,277634,9416.0
Italy,cases,2020-37,287753,10119.0
Italy,cases,2020-38,298156,10403.0
Italy,cases,2020-39,309870,11714.0
Italy,cases,2020-40,325329,15459.0
Italy,cases,2020-41,354950,29621.0
Italy,cases,2020-42,414241,59291.0
Italy,cases,2020-43,525782,111541.0
Italy,cases,2020-44,709335,183553.0
Italy,cases,2020-45,935104,225769.0
Italy,cases,2020-46,1178529,243425.0
Italy,cases,2020-47,1408868,230339.0
Italy,cases,2020-48,1585178,176310.0
Italy,cases,2020-49,1728878,143700.0
Italy,cases,2020-50,1843712,114834.0
Italy,cases,2020-51,1953185,109473.0
Italy,cases,2020-52,2047696,94511.0
Italy,cases,2020-53,2155446,107750.0
Italy,cases,2021-01,2276491,121045.0
Italy,cases,2021-02,2381277,104786.0
Italy,cases,2021-03,2466813,85536.0
Italy,cases,2021-04,2553032,86219.0
Italy,cases,2021-05,2636738,83706.0
Italy,cases,2021-06,2721879,85141.0
Italy,cases,2021-07,2809246,87367.0
Italy,cases,2021-08,2925265,116019.0
