Age,total
0-4,1993000
5-9,1978000
10-14,1983000
15-19,1988000
20-24,2363000
25-29,2733000
30-34,2626000
35-39,2652000
40-44,2463000
45-49,2383000
50-54,2423000
55-59,2759000
60-64,2563000
65-69,2150000
70-74,1793000
75+,2892000
