countriesAndTerritories,geoId,countryterritoryCode,cases,deaths,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,date
Italy,IT,ITA,0,0,60359546.0,Europe,,2019-12-31
Italy,IT,ITA,0,0,60359546.0,Europe,,2020-01-01
Italy,IT,ITA,0,0,60359546.0,Europe,,2020-01-02
Italy,IT,ITA,0,0,60359546.0,Europe,,2020-01-03
Italy,IT,ITA,0,0,60359546.0,Europe,,2020-01-04
Italy,IT,ITA,0,0,60359546.0,Europe,,2020-01-05
Italy,IT,ITA,0,0,60359546.0,Europe,,2020-01-06
Italy,IT,ITA,0,0,60359546.0,Europe,,2020-01-07
Italy,IT,ITA,0,0,60359546.0,Europe,,2020-01-08
Italy,IT,ITA,0,0,60359546.0,Europe,,2020-01-09
Italy,IT,ITA,0,0,60359546.0,Europe,,2020-01-10
Italy,IT,ITA,0,0,60359546.0,Europe,,2020-01-11
Italy,IT,ITA,0,0,60359546.0,Europe,,2020-01-12
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-13
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-14
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-15
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-16
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-17
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-18
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-19
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-20
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-21
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-22
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-23
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-24
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-25
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-26
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-27
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-28
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-29
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-01-30
Italy,IT,ITA,3,0,60359546.0,Europe,0.00497022,2020-01-31
Italy,IT,ITA,0,0,60359546.0,Europe,0.00497022,2020-02-01
Italy,IT,ITA,0,0,60359546.0,Europe,0.00497022,2020-02-02
Italy,IT,ITA,0,0,60359546.0,Europe,0.00497022,2020-02-03
Italy,IT,ITA,0,0,60359546.0,Europe,0.00497022,2020-02-04
Italy,IT,ITA,0,0,60359546.0,Europe,0.00497022,2020-02-05
Italy,IT,ITA,0,0,60359546.0,Europe,0.00497022,2020-02-06
Italy,IT,ITA,0,0,60359546.0,Europe,0.00497022,2020-02-07
Italy,IT,ITA,0,0,60359546.0,Europe,0.00497022,2020-02-08
Italy,IT,ITA,0,0,60359546.0,Europe,0.00497022,2020-02-09
Italy,IT,ITA,0,0,60359546.0,Europe,0.00497022,2020-02-10
Italy,IT,ITA,0,0,60359546.0,Europe,0.00497022,2020-02-11
Italy,IT,ITA,0,0,60359546.0,Europe,0.00497022,2020-02-12
Italy,IT,ITA,0,0,60359546.0,Europe,0.00497022,2020-02-13
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-02-14
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-02-15
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-02-16
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-02-17
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-02-18
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-02-19
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-02-20
Italy,IT,ITA,0,0,60359546.0,Europe,0.0,2020-02-21
Italy,IT,ITA,14,0,60359546.0,Europe,0.02319434,2020-02-22
Italy,IT,ITA,62,2,60359546.0,Europe,0.12591215,2020-02-23
Italy,IT,ITA,53,0,60359546.0,Europe,0.2137193,2020-02-24
Italy,IT,ITA,97,4,60359546.0,Europe,0.37442296,2020-02-25
Italy,IT,ITA,93,5,60359546.0,Europe,0.52849967,2020-02-26
Italy,IT,ITA,78,1,60359546.0,Europe,0.65772529,2020-02-27
Italy,IT,ITA,250,5,60359546.0,Europe,1.07190998,2020-02-28
Italy,IT,ITA,238,4,60359546.0,Europe,1.46621381,2020-02-29
Italy,IT,ITA,240,8,60359546.0,Europe,1.86383112,2020-03-01
Italy,IT,ITA,561,6,60359546.0,Europe,2.79326157,2020-03-02
Italy,IT,ITA,347,17,60359546.0,Europe,3.36814992,2020-03-03
Italy,IT,ITA,466,28,60359546.0,Europe,4.14019019,2020-03-04
Italy,IT,ITA,587,27,60359546.0,Europe,5.11269584,2020-03-05
Italy,IT,ITA,769,41,60359546.0,Europe,6.38672796,2020-03-06
Italy,IT,ITA,778,49,60359546.0,Europe,7.65247638,2020-03-07
Italy,IT,ITA,1247,36,60359546.0,Europe,9.61571182,2020-03-08
Italy,IT,ITA,1492,133,60359546.0,Europe,11.99975891,2020-03-09
Italy,IT,ITA,1797,98,60359546.0,Europe,14.81621482,2020-03-10
Italy,IT,ITA,977,167,60359546.0,Europe,16.28077189,2020-03-11
Italy,IT,ITA,2313,196,60359546.0,Europe,19.98358304,2020-03-12
Italy,IT,ITA,2651,189,60359546.0,Europe,23.96141283,2020-03-13
Italy,IT,ITA,2547,252,60359546.0,Europe,27.78682265,2020-03-14
Italy,IT,ITA,3497,173,60359546.0,Europe,33.18282083,2020-03-15
Italy,IT,ITA,2823,370,60359546.0,Europe,36.93036392,2020-03-16
Italy,IT,ITA,4000,347,60359546.0,Europe,42.98243065,2020-03-17
Italy,IT,ITA,3526,347,60359546.0,Europe,48.05205129,2020-03-18
Italy,IT,ITA,4207,473,60359546.0,Europe,54.04944563,2020-03-19
Italy,IT,ITA,5322,429,60359546.0,Europe,61.59257725,2020-03-20
Italy,IT,ITA,5986,625,60359546.0,Europe,70.22087277,2020-03-21
Italy,IT,ITA,6557,795,60359546.0,Europe,79.01815564,2020-03-22
Italy,IT,ITA,5560,649,60359546.0,Europe,85.75776895,2020-03-23
Italy,IT,ITA,4789,601,60359546.0,Europe,90.71473135,2020-03-24
Italy,IT,ITA,5249,743,60359546.0,Europe,97.79231938,2020-03-25
Italy,IT,ITA,5210,685,60359546.0,Europe,102.5918916,2020-03-26
Italy,IT,ITA,6153,660,60359546.0,Europe,108.39379077,2020-03-27
Italy,IT,ITA,5959,971,60359546.0,Europe,114.04658345,2020-03-28
Italy,IT,ITA,5974,887,60359546.0,Europe,118.15032539,2020-03-29
Italy,IT,ITA,5217,758,60359546.0,Europe,122.116558,2020-03-30
Italy,IT,ITA,4050,810,60359546.0,Europe,122.19939494,2020-03-31
Italy,IT,ITA,4053,839,60359546.0,Europe,123.07249627,2020-04-01
Italy,IT,ITA,4782,727,60359546.0,Europe,124.02512106,2020-04-02
Italy,IT,ITA,4668,760,60359546.0,Europe,122.94161391,2020-04-03
Italy,IT,ITA,4585,764,60359546.0,Europe,120.62052289,2020-04-04
Italy,IT,ITA,4805,681,60359546.0,Europe,117.71791657,2020-04-05
Italy,IT,ITA,4316,527,60359546.0,Europe,115.65693354,2020-04-06
Italy,IT,ITA,3599,636,60359546.0,Europe,113.6854144,2020-04-07
Italy,IT,ITA,3039,604,60359546.0,Europe,110.02402172,2020-04-08
Italy,IT,ITA,3836,540,60359546.0,Europe,107.74766265,2020-04-09
Italy,IT,ITA,4204,612,60359546.0,Europe,104.51867879,2020-04-10
Italy,IT,ITA,3951,570,60359546.0,Europe,101.19194734,2020-04-11
Italy,IT,ITA,4694,619,60359546.0,Europe,99.07132171,2020-04-12
Italy,IT,ITA,4092,431,60359546.0,Europe,97.20749059,2020-04-13
Italy,IT,ITA,3153,564,60359546.0,Europe,95.72139592,2020-04-14
Italy,IT,ITA,2972,604,60359546.0,Europe,93.93046131,2020-04-15
Italy,IT,ITA,2667,578,60359546.0,Europe,90.42645881,2020-04-16
Italy,IT,ITA,3786,525,60359546.0,Europe,88.96521521,2020-04-17
Italy,IT,ITA,3493,575,60359546.0,Europe,87.15605648,2020-04-18
Italy,IT,ITA,3491,480,60359546.0,Europe,84.97910173,2020-04-19
Italy,IT,ITA,3047,433,60359546.0,Europe,82.87670023,2020-04-20
Italy,IT,ITA,2256,454,60359546.0,Europe,80.65170006,2020-04-21
Italy,IT,ITA,2729,534,60359546.0,Europe,80.13811105,2020-04-22
Italy,IT,ITA,3370,437,60359546.0,Europe,79.36607078,2020-04-23
Italy,IT,ITA,2646,464,60359546.0,Europe,76.78487177,2020-04-24
Italy,IT,ITA,3021,420,60359546.0,Europe,75.24410472,2020-04-25
Italy,IT,ITA,2357,415,60359546.0,Europe,71.37230621,2020-04-26
Italy,IT,ITA,2324,260,60359546.0,Europe,68.44319207,2020-04-27
Italy,IT,ITA,1739,333,60359546.0,Europe,66.10056345,2020-04-28
Italy,IT,ITA,2091,382,60359546.0,Europe,64.64097659,2020-04-29
Italy,IT,ITA,2086,323,60359546.0,Europe,63.67841137,2020-04-30
Italy,IT,ITA,1872,285,60359546.0,Europe,60.50741336,2020-05-01
Italy,IT,ITA,1965,269,60359546.0,Europe,57.97591652,2020-05-02
Italy,IT,ITA,1900,474,60359546.0,Europe,55.34004514,2020-05-03
Italy,IT,ITA,1389,174,60359546.0,Europe,52.59317225,2020-05-04
Italy,IT,ITA,1221,195,60359546.0,Europe,50.87844763,2020-05-05
Italy,IT,ITA,1075,236,60359546.0,Europe,48.1382017,2020-05-06
Italy,IT,ITA,1444,369,60359546.0,Europe,44.94732283,2020-05-07
Italy,IT,ITA,1401,274,60359546.0,Europe,42.88468306,2020-05-08
Italy,IT,ITA,1327,243,60359546.0,Europe,40.07816759,2020-05-09
Italy,IT,ITA,1083,194,60359546.0,Europe,37.96748239,2020-05-10
Italy,IT,ITA,802,165,60359546.0,Europe,35.44592598,2020-05-11
Italy,IT,ITA,744,179,60359546.0,Europe,33.79747091,2020-05-12
Italy,IT,ITA,1402,172,60359546.0,Europe,32.6559779,2020-05-13
Italy,IT,ITA,888,195,60359546.0,Europe,30.67120485,2020-05-14
Italy,IT,ITA,992,262,60359546.0,Europe,29.21327473,2020-05-15
Italy,IT,ITA,789,242,60359546.0,Europe,27.26494994,2020-05-16
Italy,IT,ITA,875,153,60359546.0,Europe,25.5667927,2020-05-17
Italy,IT,ITA,675,145,60359546.0,Europe,24.38388122,2020-05-18
Italy,IT,ITA,451,99,60359546.0,Europe,23.10819236,2020-05-19
Italy,IT,ITA,813,162,60359546.0,Europe,22.67412681,2020-05-20
Italy,IT,ITA,665,161,60359546.0,Europe,21.3835273,2020-05-21
Italy,IT,ITA,642,156,60359546.0,Europe,20.12606258,2020-05-22
Italy,IT,ITA,652,130,60359546.0,Europe,19.00776391,2020-05-23
Italy,IT,ITA,669,119,60359546.0,Europe,18.32187406,2020-05-24
Italy,IT,ITA,531,50,60359546.0,Europe,17.87289785,2020-05-25
Italy,IT,ITA,300,92,60359546.0,Europe,17.13730584,2020-05-26
Italy,IT,ITA,397,78,60359546.0,Europe,15.47228337,2020-05-27
Italy,IT,ITA,584,117,60359546.0,Europe,14.96863479,2020-05-28
Italy,IT,ITA,593,70,60359546.0,Europe,14.30759602,2020-05-29
Italy,IT,ITA,516,87,60359546.0,Europe,13.85530633,2020-05-30
Italy,IT,ITA,416,111,60359546.0,Europe,13.09486324,2020-05-31
Italy,IT,ITA,355,75,60359546.0,Europe,12.56470683,2020-06-01
Italy,IT,ITA,178,60,60359546.0,Europe,12.11241715,2020-06-02
Italy,IT,ITA,318,55,60359546.0,Europe,11.29233146,2020-06-03
Italy,IT,ITA,321,71,60359546.0,Europe,10.72241332,2020-06-04
Italy,IT,ITA,177,88,60359546.0,Europe,9.95202979,2020-06-05
Italy,IT,ITA,518,85,60359546.0,Europe,9.7300268,2020-06-06
Italy,IT,ITA,270,72,60359546.0,Europe,9.06898803,2020-06-07
Italy,IT,ITA,197,53,60359546.0,Europe,8.51563728,2020-06-08
Italy,IT,ITA,280,65,60359546.0,Europe,8.4825025,2020-06-09
Italy,IT,ITA,283,79,60359546.0,Europe,8.29363428,2020-06-10
Italy,IT,ITA,202,71,60359546.0,Europe,7.66076007,2020-06-11
Italy,IT,ITA,379,53,60359546.0,Europe,7.30621798,2020-06-12
