Age,total
0-4,2325000
5-9,2670000
10-14,2857000
15-19,2876000
20-24,2943000
25-29,3161000
30-34,3366000
35-39,3633000
40-44,4189000
45-49,4833000
50-54,4908000
55-59,4659000
60-64,3954000
65-69,3531000
70-74,3392000
75+,7166000
