country,indicator,year_week,cumulative_count,weekly_count
Serbia,deaths,2020-11,0,
Serbia,deaths,2020-12,1,1.0
Serbia,deaths,2020-13,13,12.0
Serbia,deaths,2020-14,51,38.0
Serbia,deaths,2020-15,80,29.0
Serbia,deaths,2020-16,122,42.0
Serbia,deaths,2020-17,156,34.0
Serbia,deaths,2020-18,193,37.0
Serbia,deaths,2020-19,215,22.0
Serbia,deaths,2020-20,230,15.0
Serbia,deaths,2020-21,238,8.0
Serbia,deaths,2020-22,243,5.0
Serbia,deaths,2020-23,249,6.0
Serbia,deaths,2020-24,254,5.0
Serbia,deaths,2020-25,261,7.0
Serbia,deaths,2020-26,270,9.0
Serbia,deaths,2020-27,311,41.0
Serbia,deaths,2020-28,393,82.0
Serbia,deaths,2020-29,472,79.0
Serbia,deaths,2020-30,534,62.0
Serbia,deaths,2020-31,590,56.0
Serbia,deaths,2020-32,641,51.0
Serbia,deaths,2020-33,674,33.0
Serbia,deaths,2020-34,698,24.0
Serbia,deaths,2020-35,711,13.0
Serbia,deaths,2020-36,724,13.0
Serbia,deaths,2020-37,733,9.0
Serbia,deaths,2020-38,741,8.0
Serbia,deaths,2020-39,747,6.0
Serbia,deaths,2020-40,754,7.0
Serbia,deaths,2020-41,763,9.0
Serbia,deaths,2020-42,776,13.0
Serbia,deaths,2020-43,792,16.0
Serbia,deaths,2020-44,826,34.0
Serbia,deaths,2020-45,890,64.0
Serbia,deaths,2020-46,1009,119.0
Serbia,deaths,2020-47,1199,190.0
Serbia,deaths,2020-48,1549,350.0
Serbia,deaths,2020-49,1949,400.0
Serbia,deaths,2020-50,2331,382.0
Serbia,deaths,2020-51,2733,402.0
Serbia,deaths,2020-52,3073,340.0
Serbia,deaths,2020-53,3325,252.0
Serbia,deaths,2021-01,3582,257.0
Serbia,deaths,2021-02,3750,168.0
Serbia,deaths,2021-03,3886,136.0
Serbia,deaths,2021-04,4020,134.0
Serbia,deaths,2021-05,4126,106.0
Serbia,deaths,2021-06,4230,104.0
Serbia,deaths,2021-07,4337,107.0
Serbia,deaths,2021-08,4443,106.0
