country,indicator,year_week,cumulative_count,weekly_count
Serbia,cases,2020-11,55,
Serbia,cases,2020-12,188,133.0
Serbia,cases,2020-13,741,553.0
Serbia,cases,2020-14,1908,1167.0
Serbia,cases,2020-15,3630,1722.0
Serbia,cases,2020-16,6318,2688.0
Serbia,cases,2020-17,8042,1724.0
Serbia,cases,2020-18,9464,1422.0
Serbia,cases,2020-19,10114,650.0
Serbia,cases,2020-20,10610,496.0
Serbia,cases,2020-21,11159,549.0
Serbia,cases,2020-22,11412,253.0
Serbia,cases,2020-23,11823,411.0
Serbia,cases,2020-24,12310,487.0
Serbia,cases,2020-25,12894,584.0
Serbia,cases,2020-26,14046,1152.0
Serbia,cases,2020-27,16131,2085.0
Serbia,cases,2020-28,18360,2229.0
Serbia,cases,2020-29,20894,2534.0
Serbia,cases,2020-30,23730,2836.0
Serbia,cases,2020-31,26193,2463.0
Serbia,cases,2020-32,28099,1906.0
Serbia,cases,2020-33,29682,1583.0
Serbia,cases,2020-34,30657,975.0
Serbia,cases,2020-35,31365,708.0
Serbia,cases,2020-36,31905,540.0
Serbia,cases,2020-37,32408,503.0
Serbia,cases,2020-38,32908,500.0
Serbia,cases,2020-39,33384,476.0
Serbia,cases,2020-40,33901,517.0
Serbia,cases,2020-41,34787,886.0
Serbia,cases,2020-42,36160,1373.0
Serbia,cases,2020-43,39486,3326.0
Serbia,cases,2020-44,48403,8917.0
Serbia,cases,2020-45,62747,14344.0
Serbia,cases,2020-46,84568,21821.0
Serbia,cases,2020-47,121120,36552.0
Serbia,cases,2020-48,169214,48094.0
Serbia,cases,2020-49,219652,50438.0
Serbia,cases,2020-50,266432,46780.0
Serbia,cases,2020-51,303747,37315.0
Serbia,cases,2020-52,328619,24872.0
Serbia,cases,2020-53,343870,15251.0
Serbia,cases,2021-01,359689,15819.0
Serbia,cases,2021-02,372533,12844.0
Serbia,cases,2021-03,383603,11070.0
Serbia,cases,2021-04,395263,11660.0
Serbia,cases,2021-05,407881,12618.0
Serbia,cases,2021-06,420879,12998.0
Serbia,cases,2021-07,436640,15761.0
Serbia,cases,2021-08,459259,22619.0
