country,indicator,year_week,cumulative_count,weekly_count
Ukraine,deaths,2020-11,0,
Ukraine,deaths,2020-12,3,3.0
Ukraine,deaths,2020-13,9,6.0
Ukraine,deaths,2020-14,37,28.0
Ukraine,deaths,2020-15,83,46.0
Ukraine,deaths,2020-16,141,58.0
Ukraine,deaths,2020-17,209,68.0
Ukraine,deaths,2020-18,288,79.0
Ukraine,deaths,2020-19,391,103.0
Ukraine,deaths,2020-20,514,123.0
Ukraine,deaths,2020-21,617,103.0
Ukraine,deaths,2020-22,708,91.0
Ukraine,deaths,2020-23,788,80.0
Ukraine,deaths,2020-24,889,101.0
Ukraine,deaths,2020-25,1002,113.0
Ukraine,deaths,2020-26,1129,127.0
Ukraine,deaths,2020-27,1249,120.0
Ukraine,deaths,2020-28,1383,134.0
Ukraine,deaths,2020-29,1485,102.0
Ukraine,deaths,2020-30,1605,120.0
Ukraine,deaths,2020-31,1725,120.0
Ukraine,deaths,2020-32,1922,197.0
Ukraine,deaths,2020-33,2089,167.0
Ukraine,deaths,2020-34,2271,182.0
Ukraine,deaths,2020-35,2527,256.0
Ukraine,deaths,2020-36,2811,284.0
Ukraine,deaths,2020-37,3178,367.0
Ukraine,deaths,2020-38,3557,379.0
Ukraine,deaths,2020-39,3959,402.0
Ukraine,deaths,2020-40,4397,438.0
Ukraine,deaths,2020-41,4972,575.0
Ukraine,deaths,2020-42,5673,701.0
Ukraine,deaths,2020-43,6391,718.0
Ukraine,deaths,2020-44,7306,915.0
Ukraine,deaths,2020-45,8450,1144.0
Ukraine,deaths,2020-46,9603,1153.0
Ukraine,deaths,2020-47,10813,1210.0
Ukraine,deaths,2020-48,12213,1400.0
Ukraine,deaths,2020-49,13588,1375.0
Ukraine,deaths,2020-50,15247,1659.0
Ukraine,deaths,2020-51,16665,1418.0
Ukraine,deaths,2020-52,17849,1184.0
Ukraine,deaths,2020-53,18854,1005.0
Ukraine,deaths,2021-01,19835,981.0
Ukraine,deaths,2021-02,20869,1034.0
Ukraine,deaths,2021-03,21924,1055.0
Ukraine,deaths,2021-04,22934,1010.0
Ukraine,deaths,2021-05,23644,710.0
Ukraine,deaths,2021-06,24285,641.0
Ukraine,deaths,2021-07,25156,871.0
Ukraine,deaths,2021-08,26050,894.0
