country,indicator,year_week,cumulative_count,weekly_count
Ukraine,cases,2020-11,3,
Ukraine,cases,2020-12,47,44.0
Ukraine,cases,2020-13,418,371.0
Ukraine,cases,2020-14,1308,890.0
Ukraine,cases,2020-15,2777,1469.0
Ukraine,cases,2020-16,5449,2672.0
Ukraine,cases,2020-17,8617,3168.0
Ukraine,cases,2020-18,11913,3296.0
Ukraine,cases,2020-19,15232,3319.0
Ukraine,cases,2020-20,18291,3059.0
Ukraine,cases,2020-21,20986,2695.0
Ukraine,cases,2020-22,23672,2686.0
Ukraine,cases,2020-23,26999,3327.0
Ukraine,cases,2020-24,31154,4155.0
Ukraine,cases,2020-25,36560,5406.0
Ukraine,cases,2020-26,42982,6422.0
Ukraine,cases,2020-27,48500,5518.0
Ukraine,cases,2020-28,53521,5021.0
Ukraine,cases,2020-29,58842,5321.0
Ukraine,cases,2020-30,64849,6007.0
Ukraine,cases,2020-31,72168,7319.0
Ukraine,cases,2020-32,81957,9789.0
Ukraine,cases,2020-33,92820,10863.0
Ukraine,cases,2020-34,104958,12138.0
Ukraine,cases,2020-35,119074,14116.0
Ukraine,cases,2020-36,135894,16820.0
Ukraine,cases,2020-37,154335,18441.0
Ukraine,cases,2020-38,175678,21343.0
Ukraine,cases,2020-39,198634,22956.0
Ukraine,cases,2020-40,226462,27828.0
Ukraine,cases,2020-41,261034,34572.0
Ukraine,cases,2020-42,303638,42604.0
Ukraine,cases,2020-43,343489,39851.0
Ukraine,cases,2020-44,395440,51951.0
Ukraine,cases,2020-45,460331,64891.0
Ukraine,cases,2020-46,535857,75526.0
Ukraine,cases,2020-47,612665,76808.0
Ukraine,cases,2020-48,722679,110014.0
Ukraine,cases,2020-49,813306,90627.0
Ukraine,cases,2020-50,900666,87360.0
Ukraine,cases,2020-51,970993,70327.0
Ukraine,cases,2020-52,1030374,59381.0
Ukraine,cases,2020-53,1074093,43719.0
Ukraine,cases,2021-01,1119314,45221.0
Ukraine,cases,2021-02,1163716,44402.0
Ukraine,cases,2021-03,1194328,30612.0
Ukraine,cases,2021-04,1223879,29551.0
Ukraine,cases,2021-05,1246990,23111.0
Ukraine,cases,2021-06,1268049,21059.0
Ukraine,cases,2021-07,1307662,39613.0
Ukraine,cases,2021-08,1352134,44472.0
