date,work
2020-07-26,1.12
2020-08-02,0.7999999999999999
2020-08-09,0.7599999999999999
2020-08-16,0.5914285714285715
2020-08-23,0.6271428571428572
2020-08-30,0.7314285714285714
2020-09-06,0.787142857142857
2020-09-13,0.7942857142857143
2020-09-20,0.8171428571428573
2020-09-27,0.8071428571428572
2020-10-04,0.8300000000000001
2020-10-11,0.8428571428571429
2020-10-18,0.8457142857142858
2020-10-25,0.8371428571428572
2020-11-01,0.777142857142857
2020-11-08,0.7271428571428571
2020-11-15,0.7
2020-11-22,0.6900000000000001
2020-11-29,0.706
