country,indicator,year_week,cumulative_count,weekly_count
France,deaths,2020-01,0,
France,deaths,2020-02,0,0.0
France,deaths,2020-03,0,0.0
France,deaths,2020-04,0,0.0
France,deaths,2020-05,0,0.0
France,deaths,2020-06,0,0.0
France,deaths,2020-07,1,1.0
France,deaths,2020-08,1,0.0
France,deaths,2020-09,2,1.0
France,deaths,2020-10,19,17.0
France,deaths,2020-11,127,108.0
France,deaths,2020-12,674,547.0
France,deaths,2020-13,2606,1932.0
France,deaths,2020-14,8078,5472.0
France,deaths,2020-15,14393,6315.0
France,deaths,2020-16,19718,5325.0
France,deaths,2020-17,22856,3138.0
France,deaths,2020-18,24895,2039.0
France,deaths,2020-19,26380,1485.0
France,deaths,2020-20,27711,1331.0
France,deaths,2020-21,28367,656.0
France,deaths,2020-22,28802,435.0
France,deaths,2020-23,29155,353.0
France,deaths,2020-24,29407,252.0
France,deaths,2020-25,29640,233.0
France,deaths,2020-26,29778,138.0
France,deaths,2020-27,29893,115.0
France,deaths,2020-28,30004,111.0
France,deaths,2020-29,30152,148.0
France,deaths,2020-30,30192,40.0
France,deaths,2020-31,30265,73.0
France,deaths,2020-32,30324,59.0
France,deaths,2020-33,30410,86.0
France,deaths,2020-34,30513,103.0
France,deaths,2020-35,30606,93.0
France,deaths,2020-36,30701,95.0
France,deaths,2020-37,30916,215.0
France,deaths,2020-38,31285,369.0
France,deaths,2020-39,31727,442.0
France,deaths,2020-40,32230,503.0
France,deaths,2020-41,32730,500.0
France,deaths,2020-42,33477,747.0
France,deaths,2020-43,34761,1284.0
France,deaths,2020-44,37019,2258.0
France,deaths,2020-45,40439,3420.0
France,deaths,2020-46,44548,4109.0
France,deaths,2020-47,48732,4184.0
France,deaths,2020-48,52325,3593.0
France,deaths,2020-49,55155,2830.0
France,deaths,2020-50,57911,2756.0
France,deaths,2020-51,60549,2638.0
France,deaths,2020-52,63109,2560.0
France,deaths,2020-53,65037,1928.0
France,deaths,2021-01,67750,2713.0
France,deaths,2021-02,70283,2533.0
France,deaths,2021-03,73049,2766.0
