year_week,oth_red
2020-07,1.124225
2020-08,0.9987571428571427
2020-09,1.0250642857142858
2020-10,1.0481964285714285
2020-11,0.8792535714285714
2020-12,0.34186785714285717
2020-13,0.16655714285714288
2020-14,0.14907857142857145
2020-15,0.14502857142857145
2020-16,0.1624107142857143
2020-17,0.18297857142857143
2020-18,0.2125535714285714
2020-19,0.23614285714285715
2020-20,0.2666642857142857
2020-21,0.3227714285714286
2020-22,0.36562857142857147
2020-23,0.3948892857142857
2020-24,0.42717142857142865
2020-25,0.4748642857142857
2020-26,0.49134285714285714
2020-27,0.5172714285714285
2020-28,0.5232928571428571
2020-29,0.5302321428571429
2020-30,0.5379857142857143
2020-31,0.5437857142857144
2020-32,0.5351142857142858
2020-33,0.5570642857142858
2020-34,0.5539821428571429
2020-35,0.5614642857142857
2020-36,0.5932107142857143
2020-37,0.5171892857142857
2020-38,0.54425
2020-39,0.5081178571428571
2020-40,0.48450714285714286
2020-41,0.46061428571428564
2020-42,0.4159
2020-43,0.4476357142857142
2020-44,0.4515142857142857
2020-45,0.4374035714285715
2020-46,0.41015000000000007
2020-47,0.3966321428571428
2020-48,0.38682142857142854
2020-49,0.3767892857142857
2020-50,0.366225
2020-51,0.37249285714285724
2020-52,0.3007107142857143
2020-53,0.22168214285714286
2021-01,0.24651785714285715
2021-02,0.21973571428571428
2021-03,0.2196785714285714
2021-04,0.22311785714285712
2021-05,0.22643571428571427
2021-06,0.26372142857142855
2021-07,0.2793107142857143
2021-08,0.31415714285714286
2021-09,0.3287285714285714
2021-10,0.3693214285714285
2021-11,0.3985785714285714
2021-12,0.3911107142857143
2021-13,0.36858928571428573
2021-14,0.3586571428571429
2021-15,0.3299142857142857
2021-16,0.3260678571428572
2021-17,0.35306071428571434
2021-18,0.3708178571428572
2021-19,0.40211428571428565
2021-20,0.4080642857142857
2021-21,0.39916071428571426
2021-22,0.4549571428571429
2021-23,0.4758714285714286
2021-24,0.5209964285714286
2021-25,0.5112857142857142
