year_week,work_red
2020-07,1.1244800000000001
2020-08,1.1912904761904766
2020-09,1.1465523809523812
2020-10,1.2349476190476187
2020-11,0.8848047619047619
2020-12,0.7563619047619048
2020-13,0.3451047619047619
2020-14,0.34658095238095243
2020-15,0.3786190476190476
2020-16,0.40181428571428573
2020-17,0.40983333333333327
2020-18,0.5130999999999999
2020-19,0.5610095238095238
2020-20,0.5984142857142857
2020-21,0.517209523809524
2020-22,0.28707142857142864
2020-23,0.6071000000000001
2020-24,0.6027333333333336
2020-25,0.6170238095238096
2020-26,0.6450761904761905
2020-27,0.6305047619047619
2020-28,0.7004809523809524
2020-29,0.7325952380952382
2020-30,0.7059380952380951
2020-31,0.5003904761904762
2020-32,0.5863285714285715
2020-33,0.7274142857142858
2020-34,0.7072714285714286
2020-35,0.7628999999999999
2020-36,0.7429666666666668
2020-37,0.7545761904761905
2020-38,0.8037428571428571
2020-39,0.7874333333333332
2020-40,0.8192952380952382
2020-41,0.7623
2020-42,0.8822857142857142
2020-43,0.905780952380952
2020-44,0.8391333333333332
2020-45,0.910185714285714
2020-46,0.9467666666666668
2020-47,0.9284904761904762
2020-48,0.9266857142857141
2020-49,0.9880238095238095
2020-50,0.9710809523809525
2020-51,0.9879333333333333
2020-52,0.9710904761904763
2020-53,0.9024761904761902
2021-01,0.7703333333333331
2021-02,0.7512761904761904
2021-03,0.7201285714285713
2021-04,0.7125380952380952
2021-05,0.7517904761904761
2021-06,0.7752190476190476
2021-07,0.7880904761904761
2021-08,0.8810190476190476
2021-09,0.9257714285714285
2021-10,0.9174047619047621
2021-11,0.9654904761904759
2021-12,0.9449761904761905
2021-13,0.9768523809523809
2021-14,0.9909809523809524
2021-15,0.8932714285714283
2021-16,0.9533857142857142
2021-17,0.7929809523809523
2021-18,0.8281285714285712
2021-19,0.4678142857142857
2021-20,0.9423857142857143
2021-21,1.0043809523809524
2021-22,1.0217142857142856
2021-23,1.012947619047619
2021-24,0.9589333333333334
2021-25,0.9458666666666666
