Age,total
0-4,2833000
5-9,2612000
10-14,2696000
15-19,2439000
20-24,2608000
25-29,2768000
30-34,2693000
35-39,2538000
40-44,2301000
45-49,2046000
50-54,1792000
55-59,1522000
60-64,1247000
65-69,1029000
70-74,732000
75+,1115000
