countriesAndTerritories,geoId,countryterritoryCode,cases,deaths,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000,date
France,FR,FRA,0,0,67012883.0,Europe,,2019-12-30
France,FR,FRA,0,0,67012883.0,Europe,,2019-12-31
France,FR,FRA,0,0,67012883.0,Europe,,2020-01-01
France,FR,FRA,0,0,67012883.0,Europe,,2020-01-02
France,FR,FRA,0,0,67012883.0,Europe,,2020-01-03
France,FR,FRA,0,0,67012883.0,Europe,,2020-01-04
France,FR,FRA,0,0,67012883.0,Europe,,2020-01-05
France,FR,FRA,0,0,67012883.0,Europe,,2020-01-06
France,FR,FRA,0,0,67012883.0,Europe,,2020-01-07
France,FR,FRA,0,0,67012883.0,Europe,,2020-01-08
France,FR,FRA,0,0,67012883.0,Europe,,2020-01-09
France,FR,FRA,0,0,67012883.0,Europe,,2020-01-10
France,FR,FRA,0,0,67012883.0,Europe,,2020-01-11
France,FR,FRA,0,0,67012883.0,Europe,0.0,2020-01-12
France,FR,FRA,0,0,67012883.0,Europe,0.0,2020-01-13
France,FR,FRA,0,0,67012883.0,Europe,0.0,2020-01-14
France,FR,FRA,0,0,67012883.0,Europe,0.0,2020-01-15
France,FR,FRA,0,0,67012883.0,Europe,0.0,2020-01-16
France,FR,FRA,0,0,67012883.0,Europe,0.0,2020-01-17
France,FR,FRA,0,0,67012883.0,Europe,0.0,2020-01-18
France,FR,FRA,0,0,67012883.0,Europe,0.0,2020-01-19
France,FR,FRA,0,0,67012883.0,Europe,0.0,2020-01-20
France,FR,FRA,0,0,67012883.0,Europe,0.0,2020-01-21
France,FR,FRA,0,0,67012883.0,Europe,0.0,2020-01-22
France,FR,FRA,0,0,67012883.0,Europe,0.0,2020-01-23
France,FR,FRA,3,0,67012883.0,Europe,0.00447675,2020-01-24
France,FR,FRA,0,0,67012883.0,Europe,0.00447675,2020-01-25
France,FR,FRA,0,0,67012883.0,Europe,0.00447675,2020-01-26
France,FR,FRA,0,0,67012883.0,Europe,0.00447675,2020-01-27
France,FR,FRA,1,0,67012883.0,Europe,0.005969,2020-01-28
France,FR,FRA,1,0,67012883.0,Europe,0.00746125,2020-01-29
France,FR,FRA,1,0,67012883.0,Europe,0.0089535,2020-01-30
France,FR,FRA,0,0,67012883.0,Europe,0.0089535,2020-01-31
France,FR,FRA,0,0,67012883.0,Europe,0.0089535,2020-02-01
France,FR,FRA,0,0,67012883.0,Europe,0.0089535,2020-02-02
France,FR,FRA,0,0,67012883.0,Europe,0.0089535,2020-02-03
France,FR,FRA,0,0,67012883.0,Europe,0.0089535,2020-02-04
France,FR,FRA,0,0,67012883.0,Europe,0.0089535,2020-02-05
France,FR,FRA,0,0,67012883.0,Europe,0.0089535,2020-02-06
France,FR,FRA,5,0,67012883.0,Europe,0.011938,2020-02-07
France,FR,FRA,0,0,67012883.0,Europe,0.011938,2020-02-08
France,FR,FRA,0,0,67012883.0,Europe,0.011938,2020-02-09
France,FR,FRA,0,0,67012883.0,Europe,0.011938,2020-02-10
France,FR,FRA,0,0,67012883.0,Europe,0.01044575,2020-02-11
France,FR,FRA,0,0,67012883.0,Europe,0.0089535,2020-02-12
France,FR,FRA,0,0,67012883.0,Europe,0.00746125,2020-02-13
France,FR,FRA,0,1,67012883.0,Europe,0.00746125,2020-02-14
France,FR,FRA,0,0,67012883.0,Europe,0.00746125,2020-02-15
France,FR,FRA,1,0,67012883.0,Europe,0.0089535,2020-02-16
France,FR,FRA,0,0,67012883.0,Europe,0.0089535,2020-02-17
France,FR,FRA,0,0,67012883.0,Europe,0.0089535,2020-02-18
France,FR,FRA,0,0,67012883.0,Europe,0.0089535,2020-02-19
France,FR,FRA,0,0,67012883.0,Europe,0.0089535,2020-02-20
France,FR,FRA,0,0,67012883.0,Europe,0.00149225,2020-02-21
France,FR,FRA,0,0,67012883.0,Europe,0.00149225,2020-02-22
France,FR,FRA,0,0,67012883.0,Europe,0.00149225,2020-02-23
France,FR,FRA,0,0,67012883.0,Europe,0.00149225,2020-02-24
France,FR,FRA,2,0,67012883.0,Europe,0.00447675,2020-02-25
France,FR,FRA,3,1,67012883.0,Europe,0.0089535,2020-02-26
France,FR,FRA,21,0,67012883.0,Europe,0.04029076,2020-02-27
France,FR,FRA,19,0,67012883.0,Europe,0.06864352,2020-02-28
France,FR,FRA,43,0,67012883.0,Europe,0.13281028,2020-02-29
France,FR,FRA,30,0,67012883.0,Europe,0.17608554,2020-03-01
France,FR,FRA,48,1,67012883.0,Europe,0.24771356,2020-03-02
France,FR,FRA,34,1,67012883.0,Europe,0.29845008,2020-03-03
France,FR,FRA,73,0,67012883.0,Europe,0.40738435,2020-03-04
France,FR,FRA,138,3,67012883.0,Europe,0.61331491,2020-03-05
France,FR,FRA,190,2,67012883.0,Europe,0.89684248,2020-03-06
France,FR,FRA,103,1,67012883.0,Europe,1.05054427,2020-03-07
France,FR,FRA,410,9,67012883.0,Europe,1.66236692,2020-03-08
France,FR,FRA,286,11,67012883.0,Europe,2.08915053,2020-03-09
France,FR,FRA,372,3,67012883.0,Europe,2.64128317,2020-03-10
France,FR,FRA,497,15,67012883.0,Europe,3.37845486,2020-03-11
France,FR,FRA,595,13,67012883.0,Europe,4.23500657,2020-03-12
France,FR,FRA,785,18,67012883.0,Europe,5.37807036,2020-03-13
France,FR,FRA,838,12,67012883.0,Europe,6.56440941,2020-03-14
France,FR,FRA,924,36,67012883.0,Europe,7.89848125,2020-03-15
France,FR,FRA,1210,21,67012883.0,Europe,9.63247619,2020-03-16
France,FR,FRA,1097,27,67012883.0,Europe,11.21873834,2020-03-17
France,FR,FRA,1404,69,67012883.0,Europe,13.2049236,2020-03-18
France,FR,FRA,1861,128,67012883.0,Europe,15.776071,2020-03-19
France,FR,FRA,1617,78,67012883.0,Europe,17.90551229,2020-03-20
France,FR,FRA,1847,112,67012883.0,Europe,20.50799695,2020-03-21
France,FR,FRA,1559,112,67012883.0,Europe,22.22259263,2020-03-22
France,FR,FRA,3838,186,67012883.0,Europe,27.52306598,2020-03-23
France,FR,FRA,2446,240,67012883.0,Europe,30.61799326,2020-03-24
France,FR,FRA,2931,231,67012883.0,Europe,34.25013068,2020-03-25
France,FR,FRA,3922,365,67012883.0,Europe,39.21484769,2020-03-26
France,FR,FRA,3809,299,67012883.0,Europe,43.72741283,2020-03-27
France,FR,FRA,4611,319,67012883.0,Europe,49.35767351,2020-03-28
France,FR,FRA,2599,292,67012883.0,Europe,51.85719289,2020-03-29
France,FR,FRA,4376,418,67012883.0,Europe,56.58165759,2020-03-30
France,FR,FRA,7578,499,67012883.0,Europe,66.25293229,2020-03-31
France,FR,FRA,4861,509,67012883.0,Europe,71.41164185,2020-04-01
France,FR,FRA,2116,471,67012883.0,Europe,71.79216569,2020-04-02
France,FR,FRA,5233,2004,67012883.0,Europe,77.18814306,2020-04-03
France,FR,FRA,4267,1053,67012883.0,Europe,80.79938898,2020-04-04
France,FR,FRA,1873,518,67012883.0,Europe,81.2679556,2020-04-05
France,FR,FRA,3912,833,67012883.0,Europe,81.37838212,2020-04-06
France,FR,FRA,3777,1417,67012883.0,Europe,83.36456738,2020-04-07
France,FR,FRA,3881,541,67012883.0,Europe,84.78220524,2020-04-08
France,FR,FRA,4286,1341,67012883.0,Europe,85.32538437,2020-04-09
France,FR,FRA,4342,987,67012883.0,Europe,86.12075383,2020-04-10
France,FR,FRA,3114,635,67012883.0,Europe,83.88685501,2020-04-11
France,FR,FRA,1613,561,67012883.0,Europe,82.41549614,2020-04-12
France,FR,FRA,2673,574,67012883.0,Europe,79.87419374,2020-04-13
France,FR,FRA,5497,762,67012883.0,Europe,76.76882071,2020-04-14
France,FR,FRA,2633,1438,67012883.0,Europe,73.44408686,2020-04-15
France,FR,FRA,2641,753,67012883.0,Europe,74.22751831,2020-04-16
France,FR,FRA,405,761,67012883.0,Europe,67.02293349,2020-04-17
France,FR,FRA,2569,642,67012883.0,Europe,64.48909234,2020-04-18
France,FR,FRA,785,395,67012883.0,Europe,62.86552393,2020-04-19
France,FR,FRA,2051,547,67012883.0,Europe,60.08844598,2020-04-20
France,FR,FRA,2667,531,67012883.0,Europe,58.43204806,2020-04-21
France,FR,FRA,1827,544,67012883.0,Europe,55.36696578,2020-04-22
France,FR,FRA,1653,516,67012883.0,Europe,51.43787054,2020-04-23
France,FR,FRA,1773,389,67012883.0,Europe,47.60427931,2020-04-24
France,FR,FRA,1537,369,67012883.0,Europe,45.25100047,2020-04-25
France,FR,FRA,461,242,67012883.0,Europe,43.53192803,2020-04-26
France,FR,FRA,1195,437,67012883.0,Europe,41.32638197,2020-04-27
France,FR,FRA,1065,367,67012883.0,Europe,34.7127283,2020-04-28
France,FR,FRA,1607,427,67012883.0,Europe,33.18167941,2020-04-29
France,FR,FRA,1139,289,67012883.0,Europe,30.94031934,2020-04-30
France,FR,FRA,604,218,67012883.0,Europe,31.23727717,2020-05-01
France,FR,FRA,794,166,67012883.0,Europe,28.58853275,2020-05-02
France,FR,FRA,308,135,67012883.0,Europe,27.87672931,2020-05-03
France,FR,FRA,576,306,67012883.0,Europe,25.67566001,2020-05-04
France,FR,FRA,1104,330,67012883.0,Europe,23.34327267,2020-05-05
France,FR,FRA,4183,278,67012883.0,Europe,26.85901456,2020-05-06
France,FR,FRA,629,178,67012883.0,Europe,25.33095017,2020-05-07
France,FR,FRA,642,243,67012883.0,Europe,23.64321499,2020-05-08
France,FR,FRA,433,80,67012883.0,Europe,21.99577057,2020-05-09
France,FR,FRA,209,70,67012883.0,Europe,21.61972348,2020-05-10
France,FR,FRA,456,263,67012883.0,Europe,20.51695045,2020-05-11
France,FR,FRA,708,348,67012883.0,Europe,19.98421706,2020-05-12
France,FR,FRA,507,83,67012883.0,Europe,18.34274165,2020-05-13
France,FR,FRA,622,351,67012883.0,Europe,17.5712482,2020-05-14
France,FR,FRA,563,130,67012883.0,Europe,17.51006594,2020-05-15
France,FR,FRA,372,88,67012883.0,Europe,16.88033628,2020-05-16
France,FR,FRA,120,68,67012883.0,Europe,16.59979321,2020-05-17
France,FR,FRA,492,186,67012883.0,Europe,16.47444418,2020-05-18
France,FR,FRA,524,125,67012883.0,Europe,15.60893896,2020-05-19
France,FR,FRA,418,110,67012883.0,Europe,9.99061628,2020-05-20
France,FR,FRA,318,83,67012883.0,Europe,9.52652641,2020-05-21
France,FR,FRA,403,74,67012883.0,Europe,9.16987857,2020-05-22
France,FR,FRA,240,43,67012883.0,Europe,8.88187425,2020-05-23
France,FR,FRA,115,35,67012883.0,Europe,8.74160272,2020-05-24
France,FR,FRA,358,65,67012883.0,Europe,8.59536218,2020-05-25
France,FR,FRA,276,98,67012883.0,Europe,7.95071001,2020-05-26
France,FR,FRA,191,66,67012883.0,Europe,7.4791589,2020-05-27
France,FR,FRA,3325,66,67012883.0,Europe,11.51271167,2020-05-28
France,FR,FRA,597,52,67012883.0,Europe,11.56344818,2020-05-29
France,FR,FRA,1828,57,67012883.0,Europe,13.73616473,2020-05-30
France,FR,FRA,257,31,67012883.0,Europe,13.94060303,2020-05-31
France,FR,FRA,338,31,67012883.0,Europe,13.71079647,2020-06-01
France,FR,FRA,-766,107,67012883.0,Europe,11.78579349,2020-06-02
France,FR,FRA,352,81,67012883.0,Europe,11.68730496,2020-06-03
France,FR,FRA,767,44,67012883.0,Europe,12.35732538,2020-06-04
France,FR,FRA,611,46,67012883.0,Europe,12.66771346,2020-06-05
France,FR,FRA,579,31,67012883.0,Europe,13.17358634,2020-06-06
France,FR,FRA,343,13,67012883.0,Europe,13.51381942,2020-06-07
France,FR,FRA,211,54,67012883.0,Europe,13.29445862,2020-06-08
France,FR,FRA,403,87,67012883.0,Europe,13.48397442,2020-06-09
France,FR,FRA,545,23,67012883.0,Europe,14.01223105,2020-06-10
France,FR,FRA,425,27,67012883.0,Europe,9.68470495,2020-06-11
France,FR,FRA,726,28,67012883.0,Europe,9.87720525,2020-06-12
France,FR,FRA,526,24,67012883.0,Europe,7.93429526,2020-06-13
France,FR,FRA,407,9,67012883.0,Europe,8.15813282,2020-06-14
France,FR,FRA,152,29,67012883.0,Europe,7.88057425,2020-06-15
France,FR,FRA,344,111,67012883.0,Europe,9.53697217,2020-06-16
France,FR,FRA,458,28,67012883.0,Europe,9.69515071,2020-06-17
France,FR,FRA,467,28,67012883.0,Europe,9.24747559,2020-06-18
France,FR,FRA,811,14,67012883.0,Europe,9.54592567,2020-06-19
France,FR,FRA,641,16,67012883.0,Europe,9.63844519,2020-06-20
France,FR,FRA,284,7,67012883.0,Europe,9.55040242,2020-06-21
France,FR,FRA,373,23,67012883.0,Europe,9.79214698,2020-06-22
France,FR,FRA,517,57,67012883.0,Europe,9.96226352,2020-06-23
France,FR,FRA,81,11,67012883.0,Europe,9.26985935,2020-06-24
France,FR,FRA,0,21,67012883.0,Europe,8.63565294,2020-06-25
France,FR,FRA,1588,26,67012883.0,Europe,9.92197276,2020-06-26
France,FR,FRA,0,0,67012883.0,Europe,9.13704907,2020-06-27
France,FR,FRA,0,0,67012883.0,Europe,8.52970316,2020-06-28
France,FR,FRA,1324,35,67012883.0,Europe,10.2786206,2020-06-29
France,FR,FRA,541,30,67012883.0,Europe,10.57259393,2020-06-30
France,FR,FRA,918,18,67012883.0,Europe,11.2590291,2020-07-01
France,FR,FRA,659,14,67012883.0,Europe,11.54554118,2020-07-02
France,FR,FRA,582,18,67012883.0,Europe,11.20381584,2020-07-03
France,FR,FRA,0,0,67012883.0,Europe,10.24728335,2020-07-04
France,FR,FRA,0,0,67012883.0,Europe,9.82348424,2020-07-05
France,FR,FRA,1375,27,67012883.0,Europe,11.31871912,2020-07-06
France,FR,FRA,475,13,67012883.0,Europe,11.2560446,2020-07-07
France,FR,FRA,663,32,67012883.0,Europe,12.12453432,2020-07-08
France,FR,FRA,621,14,67012883.0,Europe,13.05122181,2020-07-09
France,FR,FRA,658,25,67012883.0,Europe,11.66342896,2020-07-10
France,FR,FRA,0,0,67012883.0,Europe,11.66342896,2020-07-11
France,FR,FRA,0,0,67012883.0,Europe,11.66342896,2020-07-12
France,FR,FRA,1625,25,67012883.0,Europe,12.11259632,2020-07-13
France,FR,FRA,0,0,67012883.0,Europe,11.30528887,2020-07-14
France,FR,FRA,927,91,67012883.0,Europe,11.31871912,2020-07-15
France,FR,FRA,534,18,67012883.0,Europe,11.13218782,2020-07-16
France,FR,FRA,836,14,67012883.0,Europe,11.51121942,2020-07-17
France,FR,FRA,0,0,67012883.0,Europe,11.51121942,2020-07-18
France,FR,FRA,0,0,67012883.0,Europe,11.51121942,2020-07-19
France,FR,FRA,2080,13,67012883.0,Europe,12.56325593,2020-07-20
France,FR,FRA,584,0,67012883.0,Europe,12.72591123,2020-07-21
France,FR,FRA,998,7,67012883.0,Europe,13.2258151,2020-07-22
France,FR,FRA,1062,10,67012883.0,Europe,13.88389752,2020-07-23
France,FR,FRA,1130,10,67012883.0,Europe,14.5882397,2020-07-24
France,FR,FRA,0,0,67012883.0,Europe,14.5882397,2020-07-25
France,FR,FRA,0,0,67012883.0,Europe,14.5882397,2020-07-26
France,FR,FRA,2551,17,67012883.0,Europe,15.97006355,2020-07-27
France,FR,FRA,725,14,67012883.0,Europe,17.05194507,2020-07-28
France,FR,FRA,1392,15,67012883.0,Europe,17.7458415,2020-07-29
France,FR,FRA,1377,16,67012883.0,Europe,19.00380857,2020-07-30
France,FR,FRA,1346,11,67012883.0,Europe,19.76485626,2020-07-31
France,FR,FRA,0,0,67012883.0,Europe,19.76485626,2020-08-01
France,FR,FRA,0,0,67012883.0,Europe,19.76485626,2020-08-02
France,FR,FRA,3376,29,67012883.0,Europe,21.69881275,2020-08-03
France,FR,FRA,1039,2,67012883.0,Europe,22.37778667,2020-08-04
France,FR,FRA,1695,9,67012883.0,Europe,23.41788518,2020-08-05
France,FR,FRA,1604,7,67012883.0,Europe,24.22668489,2020-08-06
France,FR,FRA,2288,12,67012883.0,Europe,25.95471083,2020-08-07
France,FR,FRA,0,0,67012883.0,Europe,25.95471083,2020-08-08
France,FR,FRA,0,0,67012883.0,Europe,25.95471083,2020-08-09
France,FR,FRA,4854,16,67012883.0,Europe,29.39136345,2020-08-10
France,FR,FRA,1397,14,67012883.0,Europe,30.3941557,2020-08-11
France,FR,FRA,2524,17,67012883.0,Europe,32.08338313,2020-08-12
France,FR,FRA,2669,17,67012883.0,Europe,34.01137062,2020-08-13
France,FR,FRA,2846,18,67012883.0,Europe,36.24974619,2020-08-14
France,FR,FRA,3310,3,67012883.0,Europe,41.18909494,2020-08-15
France,FR,FRA,3015,1,67012883.0,Europe,45.68822983,2020-08-16
France,FR,FRA,493,19,67012883.0,Europe,41.38607199,2020-08-17
France,FR,FRA,2238,22,67012883.0,Europe,43.17528019,2020-08-18
France,FR,FRA,3776,17,67012883.0,Europe,46.28065323,2020-08-19
France,FR,FRA,4771,12,67012883.0,Europe,51.00661018,2020-08-20
France,FR,FRA,4586,23,67012883.0,Europe,54.43580155,2020-08-21
France,FR,FRA,3602,9,67012883.0,Europe,59.81088741,2020-08-22
France,FR,FRA,4897,1,67012883.0,Europe,67.11843751,2020-08-23
France,FR,FRA,1955,15,67012883.0,Europe,62.79240366,2020-08-24
France,FR,FRA,3304,16,67012883.0,Europe,65.63812513,2020-08-25
France,FR,FRA,5429,0,67012883.0,Europe,69.97311248,2020-08-26
France,FR,FRA,6111,32,67012883.0,Europe,75.10943829,2020-08-27
France,FR,FRA,7379,20,67012883.0,Europe,81.87380925,2020-08-28
France,FR,FRA,5453,6,67012883.0,Europe,85.07170181,2020-08-29
France,FR,FRA,5413,4,67012883.0,Europe,88.65011822,2020-08-30
France,FR,FRA,3082,29,67012883.0,Europe,92.51355445,2020-08-31
France,FR,FRA,4982,26,67012883.0,Europe,96.60828948,2020-09-01
France,FR,FRA,7017,25,67012883.0,Europe,101.44467296,2020-09-02
France,FR,FRA,7157,0,67012883.0,Europe,105.00518236,2020-09-03
France,FR,FRA,8975,0,67012883.0,Europe,111.55466927,2020-09-04
France,FR,FRA,8550,12,67012883.0,Europe,118.93832414,2020-09-05
France,FR,FRA,7071,3,67012883.0,Europe,122.18247647,2020-09-06
France,FR,FRA,4203,25,67012883.0,Europe,125.53705532,2020-09-07
France,FR,FRA,6544,38,67012883.0,Europe,130.37194654,2020-09-08
France,FR,FRA,8577,30,67012883.0,Europe,135.06955073,2020-09-09
France,FR,FRA,9843,19,67012883.0,Europe,140.63862914,2020-09-10
France,FR,FRA,9406,80,67012883.0,Europe,143.66342066,2020-09-11
France,FR,FRA,10561,17,67012883.0,Europe,151.28583559,2020-09-12
France,FR,FRA,7183,6,67012883.0,Europe,153.92711876,2020-09-13
France,FR,FRA,6158,34,67012883.0,Europe,158.51728092,2020-09-14
France,FR,FRA,7852,49,67012883.0,Europe,162.80003951,2020-09-15
France,FR,FRA,9784,46,67012883.0,Europe,166.92909631,2020-09-16
France,FR,FRA,10593,50,67012883.0,Europe,172.0564686,2020-09-17
France,FR,FRA,13215,154,67012883.0,Europe,178.38361021,2020-09-18
France,FR,FRA,13498,25,67012883.0,Europe,185.76726508,2020-09-19
France,FR,FRA,11569,11,67012883.0,Europe,192.47940728,2020-09-20
France,FR,FRA,4298,53,67012883.0,Europe,192.62117107,2020-09-21
France,FR,FRA,10008,78,67012883.0,Europe,197.79032638,2020-09-22
France,FR,FRA,13072,43,67012883.0,Europe,204.49799183,2020-09-23
France,FR,FRA,16096,52,67012883.0,Europe,213.82903344,2020-09-24
France,FR,FRA,15797,150,67012883.0,Europe,223.36600561,2020-09-25
France,FR,FRA,14412,39,67012883.0,Europe,229.11266181,2020-09-26
France,FR,FRA,11123,27,67012883.0,Europe,234.9921283,2020-09-27
France,FR,FRA,4070,81,67012883.0,Europe,231.87630951,2020-09-28
France,FR,FRA,8051,85,67012883.0,Europe,232.17326734,2020-09-29
France,FR,FRA,12845,63,67012883.0,Europe,236.74104575,2020-09-30
France,FR,FRA,13970,63,67012883.0,Europe,241.78037528,2020-10-01
France,FR,FRA,12148,136,67012883.0,Europe,240.18814412,2020-10-02
France,FR,FRA,16972,43,67012883.0,Europe,245.37222194,2020-10-03
France,FR,FRA,12545,32,67012883.0,Europe,246.8286583,2020-10-04
France,FR,FRA,5104,69,67012883.0,Europe,248.03141211,2020-10-05
France,FR,FRA,10489,66,67012883.0,Europe,248.74918454,2020-10-06
France,FR,FRA,18746,80,67012883.0,Europe,257.21621319,2020-10-07
France,FR,FRA,18129,76,67012883.0,Europe,260.24995821,2020-10-08
France,FR,FRA,20339,109,67012883.0,Europe,267.02775942,2020-10-09
France,FR,FRA,26896,54,67012883.0,Europe,285.65701314,2020-10-10
France,FR,FRA,16101,46,67012883.0,Europe,293.08543553,2020-10-11
France,FR,FRA,8505,95,67012883.0,Europe,299.70356595,2020-10-12
France,FR,FRA,12993,108,67012883.0,Europe,307.07826732,2020-10-13
France,FR,FRA,22591,104,67012883.0,Europe,321.62173951,2020-10-14
France,FR,FRA,30621,88,67012883.0,Europe,346.46920056,2020-10-15
France,FR,FRA,25086,178,67012883.0,Europe,365.77593595,2020-10-16
France,FR,FRA,32427,89,67012883.0,Europe,388.83866554,2020-10-17
France,FR,FRA,29837,85,67012883.0,Europe,414.64265908,2020-10-18
France,FR,FRA,13243,146,67012883.0,Europe,426.78808491,2020-10-19
France,FR,FRA,20468,262,67012883.0,Europe,441.67925144,2020-10-20
France,FR,FRA,26676,163,67012883.0,Europe,453.51279693,2020-10-21
France,FR,FRA,41622,162,67012883.0,Europe,488.57023507,2020-10-22
France,FR,FRA,42032,298,67012883.0,Europe,520.94162252,2020-10-23
France,FR,FRA,45422,137,67012883.0,Europe,548.58705303,2020-10-24
France,FR,FRA,52010,116,67012883.0,Europe,602.17227186,2020-10-25
France,FR,FRA,26771,257,67012883.0,Europe,629.42971727,2020-10-26
France,FR,FRA,33417,523,67012883.0,Europe,659.90743899,2020-10-27
France,FR,FRA,36437,244,67012883.0,Europe,680.56913773,2020-10-28
France,FR,FRA,47637,235,67012883.0,Europe,705.96127016,2020-10-29
France,FR,FRA,49215,545,67012883.0,Europe,741.96777954,2020-10-30
France,FR,FRA,32641,223,67012883.0,Europe,742.28712112,2020-10-31
France,FR,FRA,49290,231,67012883.0,Europe,771.31586773,2020-11-01
France,FR,FRA,52518,416,67012883.0,Europe,829.92400133,2020-11-02
France,FR,FRA,36330,854,67012883.0,Europe,853.59407683,2020-11-03
France,FR,FRA,40558,385,67012883.0,Europe,874.30949658,2020-11-04
France,FR,FRA,58046,363,67012883.0,Europe,898.81821679,2020-11-05
France,FR,FRA,60486,828,67012883.0,Europe,926.35620527,2020-11-06
France,FR,FRA,86852,304,67012883.0,Europe,988.18013844,2020-11-07
France,FR,FRA,38619,270,67012883.0,Europe,968.19741362,2020-11-08
France,FR,FRA,20155,548,67012883.0,Europe,958.32468512,2020-11-09
France,FR,FRA,22180,1220,67012883.0,Europe,941.55626762,2020-11-10
