country,indicator,year_week,cumulative_count,weekly_count
Peru,deaths,2020-10,0,
Peru,deaths,2020-11,0,0.0
Peru,deaths,2020-12,5,5.0
Peru,deaths,2020-13,18,13.0
Peru,deaths,2020-14,83,65.0
Peru,deaths,2020-15,193,110.0
Peru,deaths,2020-16,400,207.0
Peru,deaths,2020-17,728,328.0
Peru,deaths,2020-18,1286,558.0
Peru,deaths,2020-19,1889,603.0
Peru,deaths,2020-20,2648,759.0
Peru,deaths,2020-21,3456,808.0
Peru,deaths,2020-22,4506,1050.0
Peru,deaths,2020-23,5465,959.0
Peru,deaths,2020-24,6688,1223.0
Peru,deaths,2020-25,8045,1357.0
Peru,deaths,2020-26,9317,1272.0
Peru,deaths,2020-27,10589,1272.0
Peru,deaths,2020-28,11870,1281.0
Peru,deaths,2020-29,13187,1317.0
Peru,deaths,2020-30,18229,5042.0
Peru,deaths,2020-31,19614,1385.0
Peru,deaths,2020-32,21072,1458.0
Peru,deaths,2020-33,26281,5209.0
Peru,deaths,2020-34,27663,1382.0
Peru,deaths,2020-35,28788,1125.0
Peru,deaths,2020-36,29838,1050.0
Peru,deaths,2020-37,30710,872.0
Peru,deaths,2020-38,31369,659.0
Peru,deaths,2020-39,32262,893.0
Peru,deaths,2020-40,32742,480.0
Peru,deaths,2020-41,33305,563.0
Peru,deaths,2020-42,33759,454.0
Peru,deaths,2020-43,34149,390.0
Peru,deaths,2020-44,34529,380.0
Peru,deaths,2020-45,34879,350.0
Peru,deaths,2020-46,35231,352.0
Peru,deaths,2020-47,35595,364.0
Peru,deaths,2020-48,35923,328.0
Peru,deaths,2020-49,36274,351.0
Peru,deaths,2020-50,36677,403.0
Peru,deaths,2020-51,37173,496.0
Peru,deaths,2020-52,37525,352.0
Peru,deaths,2020-53,37873,348.0
Peru,deaths,2021-01,38335,462.0
Peru,deaths,2021-02,38931,596.0
Peru,deaths,2021-03,39777,846.0
Peru,deaths,2021-04,41181,1404.0
Peru,deaths,2021-05,42308,1127.0
Peru,deaths,2021-06,43880,1572.0
Peru,deaths,2021-07,45263,1383.0
Peru,deaths,2021-08,46685,1422.0
