country,indicator,year_week,cumulative_count,weekly_count
Peru,cases,2020-10,7,
Peru,cases,2020-11,71,64.0
Peru,cases,2020-12,363,292.0
Peru,cases,2020-13,852,489.0
Peru,cases,2020-14,2281,1429.0
Peru,cases,2020-15,7519,5238.0
Peru,cases,2020-16,15628,8109.0
Peru,cases,2020-17,27517,11889.0
Peru,cases,2020-18,45928,18411.0
Peru,cases,2020-19,67307,21379.0
Peru,cases,2020-20,92273,24966.0
Peru,cases,2020-21,119959,27686.0
Peru,cases,2020-22,164476,44517.0
Peru,cases,2020-23,196515,32039.0
Peru,cases,2020-24,229736,33221.0
Peru,cases,2020-25,254936,25200.0
Peru,cases,2020-26,279419,24483.0
Peru,cases,2020-27,302718,23299.0
Peru,cases,2020-28,326326,23608.0
Peru,cases,2020-29,353590,27264.0
Peru,cases,2020-30,384797,31207.0
Peru,cases,2020-31,428850,44053.0
Peru,cases,2020-32,478024,49174.0
Peru,cases,2020-33,535946,57922.0
Peru,cases,2020-34,594326,58380.0
Peru,cases,2020-35,647166,52840.0
Peru,cases,2020-36,689977,42811.0
Peru,cases,2020-37,729619,39642.0
Peru,cases,2020-38,768895,39276.0
Peru,cases,2020-39,805302,36407.0
Peru,cases,2020-40,828169,22867.0
Peru,cases,2020-41,849371,21202.0
Peru,cases,2020-42,868675,19304.0
Peru,cases,2020-43,888715,20040.0
Peru,cases,2020-44,904911,16196.0
Peru,cases,2020-45,922333,17422.0
Peru,cases,2020-46,937011,14678.0
Peru,cases,2020-47,949670,12659.0
Peru,cases,2020-48,962530,12860.0
Peru,cases,2020-49,973912,11382.0
Peru,cases,2020-50,984973,11061.0
Peru,cases,2020-51,998475,13502.0
Peru,cases,2020-52,1008908,10433.0
Peru,cases,2020-53,1021058,12150.0
Peru,cases,2021-01,1037350,16292.0
Peru,cases,2021-02,1068802,31452.0
Peru,cases,2021-03,1099013,30211.0
Peru,cases,2021-04,1142716,43703.0
Peru,cases,2021-05,1186698,43982.0
Peru,cases,2021-06,1238501,51803.0
Peru,cases,2021-07,1286757,48256.0
Peru,cases,2021-08,1332939,46182.0
