country,indicator,year_week,cumulative_count,weekly_count
Egypt,cases,2020-01,0,
Egypt,cases,2020-02,0,0.0
Egypt,cases,2020-03,0,0.0
Egypt,cases,2020-04,0,0.0
Egypt,cases,2020-05,0,0.0
Egypt,cases,2020-06,0,0.0
Egypt,cases,2020-07,1,1.0
Egypt,cases,2020-08,1,0.0
Egypt,cases,2020-09,2,1.0
Egypt,cases,2020-10,49,47.0
Egypt,cases,2020-11,110,61.0
Egypt,cases,2020-12,294,184.0
Egypt,cases,2020-13,576,282.0
Egypt,cases,2020-14,1070,494.0
Egypt,cases,2020-15,2065,995.0
Egypt,cases,2020-16,3144,1079.0
Egypt,cases,2020-17,4319,1175.0
Egypt,cases,2020-18,6465,2146.0
Egypt,cases,2020-19,9400,2935.0
Egypt,cases,2020-20,12229,2829.0
Egypt,cases,2020-21,17265,5036.0
Egypt,cases,2020-22,24985,7720.0
Egypt,cases,2020-23,34079,9094.0
Egypt,cases,2020-24,44598,10519.0
Egypt,cases,2020-25,55233,10635.0
Egypt,cases,2020-26,65188,9955.0
Egypt,cases,2020-27,75253,10065.0
Egypt,cases,2020-28,82070,6817.0
Egypt,cases,2020-29,87775,5705.0
Egypt,cases,2020-30,92062,4287.0
Egypt,cases,2020-31,94483,2421.0
Egypt,cases,2020-32,95492,1009.0
Egypt,cases,2020-33,96475,983.0
Egypt,cases,2020-34,97237,762.0
Egypt,cases,2020-35,98727,1490.0
Egypt,cases,2020-36,99863,1136.0
Egypt,cases,2020-37,101009,1146.0
Egypt,cases,2020-38,102015,1006.0
Egypt,cases,2020-39,102840,825.0
Egypt,cases,2020-40,103683,843.0
Egypt,cases,2020-41,104387,704.0
Egypt,cases,2020-42,105424,1037.0
Egypt,cases,2020-43,106540,1116.0
Egypt,cases,2020-44,107736,1196.0
Egypt,cases,2020-45,109201,1465.0
Egypt,cases,2020-46,110767,1566.0
Egypt,cases,2020-47,113027,2260.0
Egypt,cases,2020-48,115541,2514.0
Egypt,cases,2020-49,118432,2891.0
Egypt,cases,2020-50,121575,3143.0
Egypt,cases,2020-51,125555,3980.0
Egypt,cases,2020-52,132541,6986.0
Egypt,cases,2020-53,142187,9646.0
Egypt,cases,2021-01,149792,7605.0
Egypt,cases,2021-02,156397,6605.0
Egypt,cases,2021-03,161817,5420.0
Egypt,cases,2021-04,165951,4134.0
Egypt,cases,2021-05,169640,3689.0
Egypt,cases,2021-06,173813,4173.0
Egypt,cases,2021-07,178151,4338.0
Egypt,cases,2021-08,182424,4273.0
