Age,total
0-4,419000
5-9,437000
10-14,487000
15-19,513000
20-24,529000
25-29,573000
30-34,618000
35-39,597000
40-44,622000
45-49,608000
50-54,571000
55-59,551000
60-64,548000
65-69,595000
70-74,464000
75+,606000
