Age,total
0-4,2114000
5-9,2476000
10-14,2404000
15-19,1980000
20-24,2146000
25-29,2752000
30-34,3585000
35-39,3624000
40-44,3337000
45-49,3069000
50-54,2803000
55-59,3104000
60-64,2928000
65-69,2612000
70-74,1769000
75+,3030000
